"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"833390690382000130","","","2017-02-19 18:59:58 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Dominican Republic: `""Working on the Dominican Republic chapter, I was fascinated by the racism in that region.... https://t.co/rMxen0dpH1","","","","http://fb.me/19Buh43Aw"
"833315184714330112","","","2017-02-19 13:59:56 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Dougla: `What's In A Name? Dougla: Used in Guyana and Trinidad &amp; Tobago to describe people who are 1st generation... https://t.co/jEG2DfDAuf","","","","http://fb.me/7DSg5TJ3A"
"833179295342292993","","","2017-02-19 04:59:58 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Garifuna People, History and Culture: `Many Garifunas have chosen to migrate to the U.S. in search of better... https://t.co/xWalSt2hY1","","","","http://fb.me/8eFDx6oFX"
"833088686216642560","","","2017-02-18 22:59:55 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Garifuna: `The Garinagu are the descendants of Caribs Indians and Black African slaves. The Caribs were... https://t.co/HtBXiq6iMF","","","","http://fb.me/8lkX4wai5"
"832952792163635200","","","2017-02-18 13:59:55 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MIDS Bookshop: `The MIDS Bookshop displays the latest and best selling books relating to mixed race/heritage... https://t.co/ODSicy3VHO","","","","http://fb.me/6EWuUz89h"
"832907501985226753","","","2017-02-18 10:59:57 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Afro-European: `What's In A Name? Afro-European: People of mixed European and African descent, especially in the... https://t.co/5foU7q2dII","","","","http://fb.me/80z26MEUY"
"832726335839690753","","","2017-02-17 23:00:04 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Quote: `""The standard of matrimony is erected by affection and purity, and does not depend upon the height, or... https://t.co/5HOVoHxlgZ","","","","http://fb.me/1dujoUwTr"
"832665935563616258","","","2017-02-17 19:00:03 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Mestee Groups In America: `There are several groups which derive from French or Spanish mixes. The ""white""... https://t.co/jQQRazK70T","","","","http://fb.me/29Q6uMMLU"
"832545127327531008","","","2017-02-17 11:00:00 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Anglo-Indian: `What's In A Name? Anglo-Indian: People who have mixed Indian and British ancestry` https://t.co/5PAtJbI6Uf","","","","http://fb.me/7z11Ui5Nz"
"832363912091754496","","","2017-02-16 22:59:55 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MIDS Bookshop: `Feel free to browse the MIDS Book shop. It helps support this project :)  You will be directed to... https://t.co/8AG9On5h2n","","","","http://fb.me/58kqPP0Ef"
